x_curr,y_curr,x_prev,y_prev
1.95621e+24,2.61317e-49,1.4767e+24,4.5858e-49
2.59143e+24,1.48909e-49,1.95621e+24,2.61317e-49
3.43291e+24,8.48545e-50,2.59143e+24,1.48909e-49
4.54764e+24,4.83535e-50,3.43291e+24,8.48545e-50
6.02434e+24,2.75538e-50,4.54764e+24,4.83535e-50
7.98055e+24,1.57012e-50,6.02434e+24,2.75538e-50
1.0572e+25,8.9472e-51,7.98055e+24,1.57012e-50
1.40049e+25,5.09848e-51,1.0572e+25,8.9472e-51
1.85525e+25,2.90532e-51,1.40049e+25,5.09848e-51
2.45769e+25,1.65557e-51,1.85525e+25,2.90532e-51
3.25574e+25,9.43409e-52,2.45769e+25,1.65557e-51
4.31294e+25,5.37592e-52,3.25574e+25,9.43409e-52
5.71343e+25,3.06342e-52,4.31294e+25,5.37592e-52
7.56868e+25,1.74566e-52,5.71343e+25,3.06342e-52
1.00264e+26,9.94747e-53,7.56868e+25,1.74566e-52
1.32821e+26,5.66847e-53,1.00264e+26,9.94747e-53
1.75951e+26,3.23012e-53,1.32821e+26,5.66847e-53
2.33085e+26,1.84065e-53,1.75951e+26,3.23012e-53
3.08772e+26,1.04888e-53,2.33085e+26,1.84065e-53
4.09035e+26,5.97693e-54,3.08772e+26,1.04888e-53
5.41856e+26,3.4059e-54,4.09035e+26,5.97693e-54
7.17807e+26,1.94082e-54,5.41856e+26,3.4059e-54
9.50892e+26,1.10596e-54,7.17807e+26,1.94082e-54
1.25966e+27,6.30218e-55,9.50892e+26,1.10596e-54
1.6687e+27,3.59124e-55,1.25966e+27,6.30218e-55
2.21056e+27,2.04643e-55,1.6687e+27,3.59124e-55
2.92836e+27,1.16614e-55,2.21056e+27,2.04643e-55
3.87925e+27,6.64513e-56,2.92836e+27,1.16614e-55
5.13892e+27,3.78666e-56,3.87925e+27,6.64513e-56
6.80762e+27,2.15779e-56,5.13892e+27,3.78666e-56
9.01817e+27,1.2296e-56,6.80762e+27,2.15779e-56
1.19465e+28,7.00674e-57,9.01817e+27,1.2296e-56
1.58258e+28,3.99272e-57,1.19465e+28,7.00674e-57
2.09647e+28,2.27522e-57,1.58258e+28,3.99272e-57
2.77723e+28,1.29651e-57,2.09647e+28,2.27522e-57
3.67905e+28,7.38803e-58,2.77723e+28,1.29651e-57
4.8737e+28,4.21e-58,3.67905e+28,7.38803e-58
6.45628e+28,2.39903e-58,4.8737e+28,4.21e-58
8.55275e+28,1.36706e-58,6.45628e+28,2.39903e-58
1.133e+29,7.79007e-59,8.55275e+28,1.36706e-58
1.5009e+29,4.4391e-59,1.133e+29,7.79007e-59
1.98827e+29,2.52958e-59,1.5009e+29,4.4391e-59
2.6339e+29,1.44145e-59,1.98827e+29,2.52958e-59
3.48918e+29,8.21399e-60,2.6339e+29,1.44145e-59
4.62218e+29,4.68066e-60,3.48918e+29,8.21399e-60
6.12308e+29,2.66723e-60,4.62218e+29,4.68066e-60
8.11135e+29,1.51989e-60,6.12308e+29,2.66723e-60
1.07453e+30,8.66097e-61,8.11135e+29,1.51989e-60
1.42344e+30,4.93537e-61,1.07453e+30,8.66097e-61
1.88566e+30,2.81237e-61,1.42344e+30,4.93537e-61
2.49797e+30,1.6026e-61,1.88566e+30,2.81237e-61
3.3091e+30,9.13228e-62,2.49797e+30,1.6026e-61
4.38363e+30,5.20394e-62,3.3091e+30,9.13228e-62
5.80707e+30,2.96542e-62,4.38363e+30,5.20394e-62
7.69273e+30,1.68981e-62,5.80707e+30,2.96542e-62
1.01907e+31,9.62924e-63,7.69273e+30,1.68981e-62
1.34998e+31,5.48713e-63,1.01907e+31,9.62924e-63
1.78834e+31,3.12679e-63,1.34998e+31,5.48713e-63
2.36905e+31,1.78177e-63,1.78834e+31,3.12679e-63
3.13832e+31,1.01532e-63,2.36905e+31,1.78177e-63
4.15739e+31,5.78572e-64,3.13832e+31,1.01532e-63
5.50737e+31,3.29694e-64,4.15739e+31,5.78572e-64
7.29572e+31,1.87873e-64,5.50737e+31,3.29694e-64
9.66477e+31,1.07057e-64,7.29572e+31,1.87873e-64
1.28031e+32,6.10057e-65,9.66477e+31,1.07057e-64
1.69605e+32,3.47635e-65,1.28031e+32,6.10057e-65
2.24679e+32,1.98096e-65,1.69605e+32,3.47635e-65
2.97636e+32,1.12883e-65,2.24679e+32,1.98096e-65
3.94283e+32,6.43254e-66,2.97636e+32,1.12883e-65
5.22314e+32,3.66552e-66,3.94283e+32,6.43254e-66
6.91919e+32,2.08876e-66,5.22314e+32,3.66552e-66
9.16598e+32,1.19026e-66,6.91919e+32,2.08876e-66
1.21423e+33,6.78259e-67,9.16598e+32,1.19026e-66
1.60852e+33,3.86499e-67,1.21423e+33,6.78259e-67
2.13083e+33,2.20243e-67,1.60852e+33,3.86499e-67
2.82275e+33,1.25503e-67,2.13083e+33,2.20243e-67
3.73935e+33,7.15168e-68,2.82275e+33,1.25503e-67
4.95358e+33,4.07532e-68,3.73935e+33,7.15168e-68
6.5621e+33,2.32228e-68,4.95358e+33,4.07532e-68
8.69293e+33,1.32333e-68,6.5621e+33,2.32228e-68
1.15157e+34,7.54086e-69,8.69293e+33,1.32333e-68
1.5255e+34,4.29708e-69,1.15157e+34,7.54086e-69
2.02086e+34,2.44865e-69,1.5255e+34,4.29708e-69
2.67707e+34,1.39534e-69,2.02086e+34,2.44865e-69
3.54636e+34,7.95121e-70,2.67707e+34,1.39534e-69
4.69793e+34,4.53092e-70,3.54636e+34,7.95121e-70
6.22344e+34,2.5819e-70,4.69793e+34,4.53092e-70
8.2443e+34,1.47127e-70,6.22344e+34,2.5819e-70
1.09214e+35,8.3839e-71,8.2443e+34,1.47127e-70
1.44677e+35,4.77748e-71,1.09214e+35,8.3839e-71
1.91657e+35,2.7224e-71,1.44677e+35,4.77748e-71
2.53891e+35,1.55133e-71,1.91657e+35,2.7224e-71
3.36334e+35,8.84013e-72,2.53891e+35,1.55133e-71
4.45548e+35,5.03746e-72,3.36334e+35,8.84013e-72
5.90225e+35,2.87055e-72,4.45548e+35,5.03746e-72
7.81882e+35,1.63575e-72,5.90225e+35,2.87055e-72
1.03577e+36,9.32118e-73,7.81882e+35,1.63575e-72
1.37211e+36,5.31159e-73,1.03577e+36,9.32118e-73
1.81765e+36,3.02676e-73,1.37211e+36,5.31159e-73
2.40788e+36,1.72477e-73,1.81765e+36,3.02676e-73
3.18976e+36,9.82842e-74,2.40788e+36,1.72477e-73
4.22553e+36,5.60063e-74,3.18976e+36,9.82842e-74
5.59764e+36,3.19146e-74,4.22553e+36,5.60063e-74
7.41529e+36,1.81863e-74,5.59764e+36,3.19146e-74
9.82317e+36,1.03633e-74,7.41529e+36,1.81863e-74
1.30129e+37,5.9054e-75,9.82317e+36,1.03633e-74
1.72385e+37,3.36514e-75,1.30129e+37,5.9054e-75
2.28361e+37,1.91759e-75,1.72385e+37,3.36514e-75
3.02514e+37,1.09272e-75,2.28361e+37,1.91759e-75
4.00746e+37,6.22676e-76,3.02514e+37,1.09272e-75
5.30875e+37,3.54826e-76,4.00746e+37,6.22676e-76
7.0326e+37,2.02194e-76,5.30875e+37,3.54826e-76
9.31621e+37,1.15218e-76,7.0326e+37,2.02194e-76
1.23413e+38,6.5656e-77,9.31621e+37,1.15218e-76
1.63488e+38,3.74135e-77,1.23413e+38,6.5656e-77
2.16576e+38,2.13197e-77,1.63488e+38,3.74135e-77
2.86902e+38,1.21488e-77,2.16576e+38,2.13197e-77
3.80064e+38,6.92289e-78,2.86902e+38,1.21488e-77
5.03477e+38,3.94494e-78,3.80064e+38,6.92289e-78
6.66965e+38,2.24799e-78,5.03477e+38,3.94494e-78
8.83541e+38,1.28099e-78,6.66965e+38,2.24799e-78
1.17044e+39,7.29961e-79,8.83541e+38,1.28099e-78
1.55051e+39,4.15961e-79,1.17044e+39,7.29961e-79
2.05398e+39,2.37032e-79,1.55051e+39,4.15961e-79
2.72095e+39,1.3507e-79,2.05398e+39,2.37032e-79
3.60449e+39,7.69684e-80,2.72095e+39,1.3507e-79
4.77493e+39,4.38597e-80,3.60449e+39,7.69684e-80
6.32544e+39,2.4993e-80,4.77493e+39,4.38597e-80
